Coeff name,Lower bound,Upper bound
m1,0,12
m2,0,12
m3,0,12
m4,0,12
m5,0,12
m6,0,12
m7,0,12
c1x,-0.1,0.1
c1y,-0.4,0
c1z,-0.2,0.2
c2x,-0.1,0.1
c2y,-0.2,0.2
c2z,-0.1,0.4
c3x,-0.1,0.1
c3y,-0.1,0.4
c3z,-0.2,0.2
c4x,-0.1,0.1
c4y,-0.2,0.2
c4z,-0.1,0.4
c5x,-0.1,0.1
c5y,-0.4,0.1
c5z,-0.2,0.2
c6x,-0.1,0.1
c6y,-0.2,0.2
c6z,-0.2,0.2
c7x,-0.1,0.1
c7y,-0.1,0.1
c7z,0.1,0.2
I1xx,0,0.5
I1xy,-0.5,0.5
I1xz,-0.5,0.5
I1yy,0,0.5
I1yz,-0.5,0.5
I1zz,0,0.5
I2xx,0,0.5
I2xy,-0.5,0.5
I2xz,-0.5,0.5
I2yy,0,0.5
I2yz,-0.5,0.5
I2zz,0,0.5
I3xx,0,0.5
I3xy,-0.5,0.5
I3xz,-0.5,0.5
I3yy,0,0.5
I3yz,-0.5,0.5
I3zz,0,0.5
I4xx,0,0.5
I4xy,-0.5,0.5
I4xz,-0.5,0.5
I4yy,0,0.5
I4yz,-0.5,0.5
I4zz,0,0.5
I5xx,0,0.5
I5xy,-0.5,0.5
I5xz,-0.5,0.5
I5yy,0,0.5
I5yz,-0.5,0.5
I5zz,0,0.5
I6xx,0,0.1
I6xy,-0.2,0.2
I6xz,-0.2,0.2
I6yy,0,0.1
I6yz,-0.2,0.2
I6zz,0,0.1
I7xx,0,0.5
I7xy,-0.5,0.5
I7xz,-0.5,0.5
I7yy,0,0.5
I7yz,-0.5,0.5
I7zz,0,0.5
